caption,n_rows,splits,label,reason,matched_patterns,verdict_y_n,notes
Level for over fifty percent,1,train,invariant,anchored,\blevel\b,y,
Remaining flat.,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
Remaining steady,1,train,invariant,anchored,\bstead\w*; \bremain\w*,y,
Remains constant throughout,1,train,invariant,anchored,\bconstant\w*; \bremain\w*,y,
Remains steady,1,train,invariant,anchored,\bstead\w*; \bremain\w*,y,
Stays flat for the most part,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
The majority is flat.,1,test,invariant,anchored,\bflat\w*,y,
almost completely flat progression,1,train,invariant,anchored,\bflat\w*,y,
basically flat throughout,1,train,invariant,anchored,\bflat\w*,y,
bounces up and down without any real change,1,train,invariant,negated_motion,NEG:without any real change,y,
consistant throughout,3,train,invariant,anchored,\bconsist\w*,y,
consistent low value throughout graph,1,train,invariant,anchored,\bconsist\w*,y,
consistent throughout,5,train,invariant,anchored,\bconsist\w*,y,
consistent values throughout,1,train,invariant,anchored,\bconsist\w*,y,
consistently flat,1,test,invariant,anchored,\bflat\w*; \bconsist\w*,y,
consistently low values,1,train,invariant,anchored,\bconsist\w*,y,
consists off all very low and rarely varying,1,val,invariant,negated_motion,NEG:low and rarely varying,y,
constant and unchanged.,1,train,invariant,anchored,\bconstant\w*; \bunchang\w*,y,
constantly steady throughout,1,train,invariant,anchored,\bstead\w*; \bconstant\w*,y,
does not move very positively or negatively throughout,1,train,invariant,negated_motion,NEG:not move,y,
entirely flat,1,train,invariant,anchored,\bflat\w*,y,
extremely low volatility,1,train,invariant,negated_motion,NEG:low volatility,y,
fairly consistent throughout,1,train,invariant,anchored,\bconsist\w*,y,
fairly flat through out,1,train,invariant,anchored,\bflat\w*,y,
fairly flat throughout,2,train,invariant,anchored,\bflat\w*,y,
flat and steady,1,train,invariant,anchored,\bflat\w*; \bstead\w*,y,
flat for the majority,1,train,invariant,anchored,\bflat\w*,y,
flat most of the time,1,test,invariant,anchored,\bflat\w*,y,
flat throughout,3,test/train,invariant,anchored,\bflat\w*,y,
flat throughout entire graph,1,train,invariant,anchored,\bflat\w*,y,
flat throughout most,1,train,invariant,anchored,\bflat\w*,y,
flat throughout the graph,1,train,invariant,anchored,\bflat\w*,y,
generally consistent throughout,1,train,invariant,anchored,\bconsist\w*,y,
goes mostly flat,1,train,invariant,anchored,\bflat\w*,y,
going flat and steady,1,train,invariant,anchored,\bflat\w*; \bstead\w*,y,
graph remains generally flat,1,val,invariant,anchored,\bflat\w*; \bremain\w*,y,
graph remains relatively flat.,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
has a negligible parabolic tendency,1,val,invariant,negated_motion,NEG:negligible parabolic,y,
holds steady for most of line,1,train,invariant,anchored,\bstead\w*,y,
includes no radical change,1,train,invariant,negated_motion,NEG:no radical change,y,
incredibly flat with little change throughout entire length,1,train,invariant,negated_motion,NEG:little change,y,
is mostly flat throughout.,1,train,invariant,anchored,\bflat\w*,y,
is nearly flat throughout.,1,test,invariant,anchored,\bflat\w*,y,
its in the same level of point,1,train,invariant,anchored,\blevel\b,y,
keeps mostly steady for the entirety,1,train,invariant,anchored,\bstead\w*; \bkeeps?\b,y,
line is pretty flat,1,train,invariant,anchored,\bflat\w*,y,
line is relatively flat throughout time,1,train,invariant,anchored,\bflat\w*,y,
line remains stagnant,1,train,invariant,anchored,\bstagnant\b; \bremain\w*,y,
line stay flat,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
