reading_order,batch,sample_id,swap_from,swap_to,clause_replaced_to,caption_distractor,q1_grammatical,q2_asserts_swap_to,q3_not_still_true,notes
1,1,sushi:smooth\24\0000007,smooth,negative spike,"Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.","Like a triangular wave, the signal discloses a regular rhythm that is constantly echoed. Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.",y,y,y,
2,1,sushi:n_spike\11\0000003,negative spike,positive spike,Frequent positive spikes are found in the signal.,"The pathway follows the curve of a positive cubic function, initially escalating, then declining in the middle, and finally escalating once more. This results in a mirrored S-shape that's been rotated by 90 degrees. Frequent positive spikes are found in the signal.",y,y,y,
3,1,sushi:noisy\02\0000001,noisy,smooth,"For the most part, the signal is smooth with slight disturbances.","The path is linearly declining at a steady pace. For the most part, the signal is smooth with slight disturbances.",y,y,y,noisy→smooth degree pair; 'for the most part smooth with slight disturbances' clearly contradicts heavy noise — ok
4,1,sushi:pn_spike\05\0000004,positive-and-negative spike,noisy,"Equally importantly, the signal is characterised by intermittent and considerable noise.","The course shows exponential undulation, with a sharp conclusion rise. Equally importantly, the signal is characterised by intermittent and considerable noise.",y,y,n,intermittent and considerable noise' plausibly also describes ±spikes (sporadic large deviations); doesn't cleanly pin dense noise vs isolated spikes
5,1,sushi:smooth\05\0000008,smooth,step,"Notably, the signal is characterised by large step changes at various points.","Ending with a sharp end spike, the trend is illustrated by exponential expansion. Notably, the signal is characterised by large step changes at various points.",y,y,y,
6,1,sushi:noisy\20\0000006,noisy,positive-and-negative spike,"Furthermore, the signal is punctuated by large positive as well as negative spikes.","The signal, mirroring a sinusoidal wave, presents a pattern that repeats at regular intervals. Furthermore, the signal is punctuated by large positive as well as negative spikes.",y,y,y,noisy→±spike close pair; 'punctuated by large spikes' is not a fair reading of dense continuous noise — kept y
7,1,sushi:pn_spike\09\0000009,positive-and-negative spike,negative spike,Large negative spikes are present in the signal.,"The pattern displays an unbroken upward trajectory, resembling an S-shaped sigmoid curve, eventually nearing a constant value, with a progressively slowing rate of increase. Large negative spikes are present in the signal.",y,y,n,true class ±spike DOES contain large negative spikes; clause lacks exclusivity — claim still true of the signal
8,1,sushi:pn_spike\03\0000009,positive-and-negative spike,positive spike,"In addition, the signal frequently contains positive spikes of considerable size.","Reproducing a concave curve similar to a quadratic function, the trend initially rises and then falls. In addition, the signal frequently contains positive spikes of considerable size.",y,y,n,±spike signal does contain positive spikes of considerable size — claim still true
9,1,sushi:n_spike\21\0000009,negative spike,smooth,Minor noise is in the smooth signal.,"Resembling a square wave, the signal unveils a cyclic pattern. Minor noise is in the smooth signal.",y,y,y,
10,1,sushi:p_spike\07\0000006,positive spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","The development is signified by a decrease, moving towards a certain value via exponential decay. A large amount of noise covers the signal throughout, furthermore.",y,y,y,
11,1,sushi:pn_spike\13\0000004,positive-and-negative spike,step,Step changes of large magnitude are a common occurrence in the signal.,"Ascending then descending, the movement corresponds to a Gaussian function, aligning to a constant. Step changes of large magnitude are a common occurrence in the signal.",y,y,y,
12,1,sushi:p_spike\01\0000007,positive spike,negative spike,"Considerable negative spikes mark the signal at different points, additionally.","Steady escalation is observed in the trend. Considerable negative spikes mark the signal at different points, additionally.",y,y,y,
13,1,sushi:pn_spike\09\0000004,positive-and-negative spike,positive spike,"Frequent positive spikes of significant magnitude are in the signal, moreover.","The path reflects a continuous increase, similar to a sigmoid curve, approaching a value, with a slowing rate of acceleration. Frequent positive spikes of significant magnitude are in the signal, moreover.",y,y,n,same subset issue: ±spike truth includes frequent positive spikes — claim still true
14,1,sushi:step\07\0000004,step,smooth,"Generally, the signal demonstrates a smooth trend with minor disturbances.","Flow marked by decrease nears a certain value through exponential decay. Generally, the signal demonstrates a smooth trend with minor disturbances.",y,y,y,step→smooth: 'minor disturbances' contradicted by large step changes — ok
15,1,sushi:step\03\0000004,step,noisy,Noise is exhibited by the signal.,"The pattern mimics a concave curve, initially rising and falling. Noise is exhibited by the signal.",y,n,n,Noise is exhibited' has no magnitude; minor noise is plausible in any signal (smooth captions also mention minor noise) — neither pins the 'noisy' class nor is clearly false for a step signal
16,1,sushi:noisy\09\0000009,noisy,positive-and-negative spike,"Besides, the signal contains sporadic large positive and negative spikes.","The trend is consistently going up, like an S-shaped curve, and it slowly starts to level off at a certain point. Besides, the signal contains sporadic large positive and negative spikes.",y,y,y,noisy→±spike; 'sporadic large positive and negative spikes' distinguishes from continuous noise — kept y
17,1,sushi:noisy\20\0000007,noisy,step,Large step changes mark the signal.,"The signal is showing a periodic pattern that repeats at regular intervals, like a sinusoidal wave. Large step changes mark the signal.",y,y,y,
18,1,sushi:p_spike\13\0000006,positive spike,negative spike,"Considerable negative spikes mark the signal at different points, additionally.","The fashion is like a hill, it goes up first and then comes down, with both ends ending up at the same point. Considerable negative spikes mark the signal at different points, additionally.",y,y,y,
19,1,sushi:pn_spike\11\0000006,positive-and-negative spike,positive spike,"Additionally, the signal is scattered with large positive spikes.","The pattern resembles the trajectory of a positive cubic function, starting with an increase, then a decrease in the middle and finally returning to an upward trend. This forms an inverted, 90-degree rotated S-shape. Additionally, the signal is scattered with large positive spikes.",y,y,n,±spike truth includes large positive spikes — claim still true
20,1,sushi:step\24\0000002,step,smooth,Minor noise is in the smooth signal.,"Like a triangular wave, the signal presents a regular rhythm. Minor noise is in the smooth signal.",y,y,y,
21,1,sushi:n_spike\22\0000007,negative spike,noisy,"Besides, the signal is frequently tainted by considerable noise.","A rhythmic sequence, similar to saw waves, is shown by the signal. Besides, the signal is frequently tainted by considerable noise.",y,y,n,frequently tainted by considerable noise' could fairly describe recurring large negative spikes; noise-vs-spike language not clearly distinguishing here
22,1,sushi:pn_spike\05\0000004,positive-and-negative spike,step,"Furthermore, the signal is sporadically interrupted by large step changes throughout.","The course shows exponential undulation, with a sharp conclusion rise. Furthermore, the signal is sporadically interrupted by large step changes throughout.",y,y,y,
23,1,sushi:step\10\0000000,step,negative spike,Large negative spikes are present in the signal.,"The progression shows an unbroken decreasing trend, similar to an inverted sigmoid curve with a mirrored S-shape, eventually merging to a constant value, with a gradual deceleration in its rate of decrease. Large negative spikes are present in the signal.",y,y,y,
24,1,sushi:n_spike\00\0000001,negative spike,positive spike,"In the same vein, the signal is occasionally interrupted by large positive spikes.","Trend unwavering, no modifications from values. In the same vein, the signal is occasionally interrupted by large positive spikes.",y,y,y,"retained trend clause 'no modifications from values' is awkward English, but it appears in both captions and is not swap-related"
25,1,sushi:step\06\0000008,step,smooth,"Generally, the signal demonstrates a smooth trend with minor disturbances.","Decreasing inverse exponential growth with a drop is exhibited by the lapse. Generally, the signal demonstrates a smooth trend with minor disturbances.",y,y,y,retained trend clause 'exhibited by the lapse' is awkward; the swapped clause itself is clean
26,1,sushi:n_spike\11\0000003,negative spike,noisy,"Correspondingly, the signal is contaminated with significant noise.","The pathway follows the curve of a positive cubic function, initially escalating, then declining in the middle, and finally escalating once more. This results in a mirrored S-shape that's been rotated by 90 degrees. Correspondingly, the signal is contaminated with significant noise.",y,y,n,contaminated with significant noise' has no pervasiveness cue; recurring large negative spikes could pass as 'significant noise' — not clearly false
27,1,sushi:noisy\21\0000002,noisy,positive-and-negative spike,"Correspondingly, the signal is riddled with sporadic large positive and negative spikes.","Much like a square wave, the signal mirrors a rhythmic pattern that repeats at regular intervals. Correspondingly, the signal is riddled with sporadic large positive and negative spikes.",y,y,y,noisy→±spike; 'sporadic large spikes' distinguishes from continuous noise — kept y
