id,class_label,caption,verdict (y/n),note (only needed if n)
1,negative spike; constant,"Direction remains steady, no straying from the value. Large negative spikes sporadically interrupt the signal, besides.",y,
2,negative spike; constant,"Pattern remains constant, not deviating from a specific value. Furthermore, the signal is peppered with large negative spikes.",y,
3,negative spike; constant,"The direction is sustained without any alterations from a specific value. Correspondingly, the signal is contaminated with significant negative spikes.",y,
4,negative spike; constant,"The pattern is unvarying, not moving from a certain value. Negative spikes are contained in the signal.",y,
5,negative spike; constant,"The trend remains steady, with no variance from the specified value. The signal displays negative spikes.",y,
6,negative spike; constant,"The trend remains unchanged and doesn't deviate from the stipulated value. Large negative spikes sporadically interrupt the signal throughout, furthermore.",y,
7,negative spike; constant,"Trajectory fixed, no divergence from value. Considerable negative spikes are in the signal.",y,
8,negative spike; constant,"Trajectory remains steady, no fluctuation from the value. In addition, the signal frequently contains negative spikes of considerable size.",y,
9,negative spike; constant,"Trend remains unwavering, no modifications from set values. Negative spikes punctuate the signal.",y,
10,negative spike; constant,"Trend unwavering, no modifications from values. In addition, the signal is consistently marred by high levels of negative spikes.",y,
11,noisy; constant,"Direction stable, no deviation from value. Notably, the signal is infused with substantial amounts of noise.",y,
12,noisy; constant,"The direction stays the same, without any shift from a specific value. Considerable amounts of noise infiltrate the signal, furthermore.",y,
13,noisy; constant,"The pattern is constant and doesn't deviate from a specific value. In the same vein, the signal is smeared with high levels of noise.",y,
14,noisy; constant,"The trajectory continues to be constant, with no deviation from a specific value. A significant amount of noise is interspersed within the signal, in addition.",y,
15,noisy; constant,"The trend is steady, with no amendments from the predetermined values. Considerable amounts of noise infiltrate the signal, furthermore.",y,
16,noisy; constant,"The trend remains constant, with no change from a specific value. High levels of noise occur at various points in the signal, notably.",y,
17,noisy; constant,"Trajectory consistent, no variations from value. The signal is plagued by noise.",y,
18,noisy; constant,"Trajectory constant, no deviation from value. A significant amount of noise permeates the signal, in addition.",y,
19,noisy; constant,"Trajectory constant, no deviation from value. In addition, the signal is frequently disturbed by significant noise.",y,
20,noisy; constant,"Trend stays unwavering, no changes to the values. Furthermore, the signal is covered by a large amount of noise throughout.",y,
21,positive spike; constant,"The direction continues to be stable without deviating from a specific value. Throughout the signal, positive spikes are visible.",y,
22,positive spike; constant,"The direction stays the same, without any shift from a specific value. The signal holds substantial positive spikes.",y,
23,positive spike; constant,"The pattern doesn't change, without straying from a certain value. Equally importantly, the signal is interspersed with substantial positive spikes.",y,
24,positive spike; constant,"The pattern remains uniform, without deviating from a specific value. Frequent positive spikes of significant magnitude are in the signal, moreover.",y,
25,positive spike; constant,The pattern stays uniform and doesn't deviate from a specific value. Positive spikes separate the signal.,y,
26,positive spike; constant,"The trend is consistent, with no divergence from a predefined value. Additionally, there are large positive spikes throughout the signal.",y,
27,positive spike; constant,"The trend stays constant, no alterations from the value. Additionally, the signal is sporadically punctuated with sizeable positive spikes.",y,
28,positive spike; constant,"The trend stays unaltered, with no divergence from a specific value. In addition, the signal is laced with significant positive spikes.",y,
29,positive spike; constant,"Trajectory remains steady, no fluctuation from the value. Furthermore, the signal is permeated with substantial positive spikes.",y,
30,positive spike; constant,"Trend steady, no deviation from predetermined value. The signal is marred by positive spikes.",y,
31,positive-and-negative spike; constant,"Direction maintained, no shift from value. In addition, the signal frequently shows spikes of considerable magnitude, both positive and negative.",y,
32,positive-and-negative spike; constant,"Pattern remains constant, not deviating from a specific value. Frequently, the signal exhibits positive and negative spikes, additionally.",y,
33,positive-and-negative spike; constant,"The pattern remains steady without straying from a determined value. In addition, the signal is interspersed with sizable positive and negative spikes.",y,
34,positive-and-negative spike; constant,"The trajectory remains stable and does not fluctuate from a specific value. Besides, the signal is interrupted sporadically by large positive and negative spikes.",y,
35,positive-and-negative spike; constant,"The trajectory remains unaltered and shows no deviation from a specific value. The signal is sporadically interrupted by large positive and negative spikes, besides.",y,
36,positive-and-negative spike; constant,"The trend maintains its course, with no alterations from a given value. Besides, the signal contains sporadic large positive and negative spikes.",y,
37,positive-and-negative spike; constant,"Trend remains consistent, not fluctuating from a set value. The signal is characterized by large positive and negative spikes throughout, moreover.",y,
38,positive-and-negative spike; constant,"Trend remains identical, doesn't vary from the value. Throughout the signal, large positive and negative spikes sporadically interrupt it, furthermore.",y,
39,positive-and-negative spike; constant,"Trend unchanged, not alternating from value. In addition, the signal intersperses sizable positive and negative spikes.",y,
40,positive-and-negative spike; constant,"Trend unwavering, no modifications from values. Large positive and negative spikes are shown in the signal, notably.",y,
