caption,n_rows,splits,label,reason,matched_patterns,verdict_y_n,notes
climbs up rapidly towards the end,1,train,dependent,order_claim,\bclimb\w*; \bup\b; \bend\w*,y,"""climbs"" (direction) + ""the end"" (position)"
Flattens off towards end.,1,train,dependent,order_claim,\bflatten\w*; \bend\w*,y,"""flattens"" (shape change) + ""end"" (position)"
increases at the end.,4,test/train,dependent,order_claim,\bincreas\w*; \bend\w*,y,"""increases"" (direction) + ""the end"" (position)"
gradual upward increase throughout,1,test,dependent,order_claim,\bincreas\w*; \bgradual\w*; \bupward\w*,y,"""upward increase"" (direction); ""throughout"" spans time"
flat at beginning,1,train,dependent,order_claim,\bbeg+in\w*,y,"""flat"" (shape) + ""beginning"" (position)"
decreases in the first part.,5,train/val,dependent,order_claim,\bdecreas\w*; \bfirst\b,y,"""decreases"" (direction) + ""first part"" (position)"
begins with an initial gradual increase.,1,val,dependent,order_claim,\bincreas\w*; \bgradual\w*; \bbeg+in\w*; \binitial\w*,y,"""begins""/""initial"" (position) + ""increase"" (direction)"
steady start no changing,1,train,dependent,order_claim,\bstart\w*,y,"""start"" (position); steadiness claimed at a specific segment"
a downward slide in the middle,1,train,dependent,order_claim,\bdownward\w*; \bmid\w*,y,"""downward"" (direction) + ""middle"" (position)"
very steady increase towards the end,1,train,dependent,order_claim,\bincreas\w*; \bend\w*,y,"""increase"" (direction) + ""the end"" (position)"
"shallow, steady decline in first half",1,train,dependent,order_claim,\bdeclin\w*; \bfirst\b; \bhalf\b,y,"""decline"" (direction) + ""first half"" (position)"
Increases constantly,1,train,dependent,order_claim,\bincreas\w*,y,"""increases"" is direction, even with no position word"
Increase steady towards the end.,1,train,dependent,order_claim,\bincreas\w*; \bend\w*,y,"""increase"" (direction) + ""the end"" (position)"
almost flat at the end.,1,train,dependent,order_claim,\bend\w*,y,"""flat"" (shape) + ""the end"" (position)"
falls quickest in middle,1,val,dependent,order_claim,\bfall(?:s|ing|en)?\b; \bmid\w*,y,"""falls"" (direction) + ""middle"" (position)"
from low to high & back normal,1,val,dependent,order_claim,\blow\s+to\s+high\b; \bfrom\b[^.]*\bto\b,y,"""from low to high & back"" is an ordered trajectory"
stays consistent to begin.,1,train,dependent,order_claim,\bbeg+in\w*,y,"""to begin"" (position); consistency tied to a segment"
Hard drop a little past midway,1,train,dependent,order_claim,\bdrop\w*; \bmid\w*,y,"""drop"" (direction) + ""past midway"" (position)"
the graph peaks at the beginning.,1,train,dependent,order_claim,\bpeak\w*; \bbeg+in\w*,y,"""peaks"" (shape) + ""beginning"" (position)"
ends at same value it started at,1,test,dependent,order_claim,\bstart\w*; \bend\w*,y,"compares two specific positions, start and end"
steady slow increase at end,1,val,dependent,order_claim,\bincreas\w*; \bend\w*,y,"""increase"" (direction) + ""end"" (position)"
roundly slopes up to start,1,train,dependent,order_claim,\bslop\w*; \bup\b; \bstart\w*,y,"""slopes up"" (direction) + ""start"" (position)"
fast drop at beginning of slope,1,train,dependent,order_claim,\bdrop\w*; \bslop\w*; \bbeg+in\w*,y,"""drop"" (direction) + ""beginning"" (position)"
significant downturn at the end,1,train,dependent,order_claim,\bend\w*,y,"""downturn"" (direction) + ""the end"" (position)"
very slow increase throughout,1,test,dependent,order_claim,\bincreas\w*,y,"""increase"" is direction, even with no position word"
increases from the middle onward,2,train,dependent,order_claim,\bincreas\w*; \bmid\w*,y,"""increases"" (direction) + ""from the middle onward"" (position)"
Decreases after steady state and again saturates.,1,train,dependent,order_claim,\bdecreas\w*; \bafter\w*,y,"""decreases"" (direction) + ""after"" (temporal order)"
dipping at the end,1,train,dependent,order_claim,\bdip\w*; \bend\w*,y,"""dipping"" (direction) + ""the end"" (position)"
sharp center peak followed by equal drop,1,train,dependent,order_claim,\bdrop\w*; \bpeak\w*; \bfollow\w*; \bcent(?:er|re)s?\b,y,"""peak""/""drop"" (shape/direction) + ""followed by"" (order)"
lowest portion is just before the end,1,test,dependent,order_claim,\blowest\b; \bbefore\b; \bend\w*,y,"""lowest portion"" located ""just before the end"" (position)"
