# N3 census sheet | 289 flagged items not in the 100-sample | rules R1-R3 in the flag column | same two-part y/n test and mechanics as the sample,,,,,,,,,,
reading_order,item_id,duration_class,flags,swap_from,swap_to,clause_replaced_from,clause_replaced_to,swapped_caption_to_judge,y_or_n,notes
1,N3|1008|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of 1.1°C to a high of 26.1°C, with noticeable fluctuations and a general trend of cooler temperatures towards the end of the week.","The temperature ranged from a low of 1.1°C to a high of 26.1°C, with noticeable fluctuations and a general trend of hotter temperatures towards the end of the week.","Weather time series location: The weather was reported for Mohave County, Arizona. Time range: The past week from October 7 to October 13, 2021. The weather is Clear, Cloudy, Humid, Windy. The temperature ranged from a low of 1.1°C to a high of 26.1°C, with noticeable fluctuations and a general trend of hotter temperatures towards the end of the week. 
 Precipitation was minimal, with only a few instances of light rain totaling 1.1 mm, indicating predominantly dry conditions. 
 Relative humidity varied significantly, peaking at 82% and dropping to as low as 15%, showing a trend of higher humidity in the early part of the week and lower values towards the end. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops to lower values due to localized weather conditions. 
 Wind direction fluctuated, with some strong gusts recorded, particularly towards the end of the week. 
 Wind velocity varied, with notable gusts reaching up to 16.25 km/h, indicating periods of breezy conditions. 
 The sky cover ranged from clear to partly cloudy, with a few instances of scattered clouds, particularly noted on October 8 and 9.",y,
2,N3|1010|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -21.18°C to a high of 10.24°C, with noticeable fluctuations and a general trend of cold conditions, particularly in the first half of the period, followed by a slight warming trend towards the end.","The temperature ranged from a low of -21.18°C to a high of 10.24°C, with noticeable fluctuations and a general trend of cold conditions, particularly in the first half of the period, followed by a slight cooling trend towards the end.","Weather time series location: The weather data is for La Salle, Illinois. Time range: The past 28 days from January 22, 2020, to February 18, 2020. The weather is Cold, Cloudy, Rainy, Humid. The temperature ranged from a low of -21.18°C to a high of 10.24°C, with noticeable fluctuations and a general trend of cold conditions, particularly in the first half of the period, followed by a slight cooling trend towards the end. 
 Precipitation was consistent, with frequent light rain or snow, averaging around 0.38 mm, indicating a generally wet period with occasional heavier precipitation events. 
 Relative humidity levels were high, averaging around 85%, with a trend of increased humidity during colder days, peaking at 99% on several occasions. 
 Visibility varied significantly, with lower values during precipitation events, dropping to as low as 0.74 km, while generally remaining good at around 16.09 km during clearer conditions. 
 Wind direction fluctuated, with notable shifts from calm to stronger winds, peaking at 7.69 km/h. 
 Wind velocity showed variability, with gusts reaching up to 9.31 km/h, indicating periods of calm and stronger winds. 
 The sky cover was predominantly overcast, with many days reporting full cloud cover (8/8), interspersed with clearer conditions.",y,
3,N3|1014|swap,week,"R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b | R3:dropping to as low as 34%, with a general trend of decreasing humidity as temper",up,down,"The temperature ranged from a low of 14.4°C to a high of 31.1°C, showing a noticeable warming trend during the week, particularly peaking mid-week, with some fluctuations indicating volatility.","The temperature ranged from a low of 14.4°C to a high of 31.1°C, showing a noticeable cooling trend during the week, particularly peaking mid-week, with some fluctuations indicating volatility.","Weather time series location: Bucks, Pennsylvania experienced a variety of weather conditions. Time range: The past week from August 9 to August 15, 2019. The weather is Clear, Warm, Humid. The temperature ranged from a low of 14.4°C to a high of 31.1°C, showing a noticeable cooling trend during the week, particularly peaking mid-week, with some fluctuations indicating volatility. 
 There was minimal precipitation, with most hours recording 0.0 mm, and only a few instances of light rain, indicating a generally dry week. 
 Relative humidity varied significantly, starting high at 79% and dropping to as low as 34%, with a general trend of decreasing humidity as temperatures rose, suggesting a shift towards drier conditions. 
 Visibility remained consistently high throughout the week, mostly around 16.09 km, with occasional drops due to weather conditions but generally clear. 
 Wind speeds varied slightly, with most readings around 1.14 m/s, peaking at 5.36 m/s, indicating generally light winds with some stronger gusts. 
 Wind velocities showed minor fluctuations, predominantly remaining around -0.24 m/s, with occasional increases indicating light breezes. 
 The sky cover ranged from clear to overcast, with periods of scattered clouds, indicating a mix of sunny and cloudy conditions throughout the week.",n,"b: surviving humidity line says ""decreasing humidity as temperatures rose"" — anchors old upward direction"
4,N3|1015|swap,six_months,R1:six_months_window | R2:\bindicat\w+\b;\btransition\w*\s+from\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b,down,up,"The temperature has shown a noticeable decline over the period, with average daily temperatures ranging from a high of around 17.18°C to lows dipping below 3°C, indicating a transition from mild to colder conditions.","The temperature has shown a noticeable rise over the period, with average daily temperatures ranging from a high of around 17.18°C to lows dipping below 3°C, indicating a transition from mild to warmer conditions.","Weather time series location: This weather summary pertains to Humboldt County, California. Time range: The past six months have seen a range of weather patterns from August 2018 to January 2019. The weather is Cloudy, Rainy, Cold, Humid. The temperature has shown a noticeable rise over the period, with average daily temperatures ranging from a high of around 17.18°C to lows dipping below 3°C, indicating a transition from mild to warmer conditions. 
 Precipitation levels have been relatively consistent, with most days experiencing light rain, but a few outliers with higher amounts, particularly notable spikes of 3.66mm and 1.62mm. 
 Relative humidity has generally remained high, averaging around 90%, with occasional dips, particularly during colder days, but also reaching 100% on several occasions, indicating very moist conditions. 
 Visibility has varied, with most days reporting good visibility, although some days experienced lower visibility due to weather conditions. 
 Wind direction has shown variability, with both positive and negative values indicating shifts in wind patterns throughout the period. 
 Wind velocity has fluctuated, with some days experiencing calm winds while others reported gusts, particularly during stormier conditions. 
 The sky cover has ranged from clear to overcast, with a predominance of broken clouds (6/8) and overcast conditions (8/8) observed frequently.",n,"b: time range ""August 2018 to January 2019"" (six months) anchors seasonal cooling, contradicting claimed rise/warmer"
5,N3|1017|swap,six_months,R1:six_months_window | R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a high of 29.26°C to a low of -8.68°C, with noticeable fluctuations and a general trend towards colder temperatures as the period progressed.","The temperature ranged from a high of 29.26°C to a low of -8.68°C, with noticeable fluctuations and a general trend towards warmer temperatures as the period progressed.","Weather time series location: The weather data is from Cuyahoga, Ohio. Time range: The past six months have shown a diverse range of weather conditions. The weather is {Clear, Cloudy, Rainy, Cold, Humid, Windy}. The temperature ranged from a high of 29.26°C to a low of -8.68°C, with noticeable fluctuations and a general trend towards warmer temperatures as the period progressed. 
 Precipitation was sporadic, with several days of no rain and occasional heavier rainfall events, indicating a generally dry period with some wet spells. 
 Relative humidity varied significantly, with values ranging from 49.5% to 91.69%, showing higher humidity levels during warmer days and lower levels during colder periods. 
 Visibility remained relatively stable, mostly around 15 km, with occasional drops due to weather conditions. 
 Wind direction showed shifts, with both calm and windy days throughout the period. 
 Wind velocity varied, with notable gusts and calm periods, contributing to the overall weather variability. 
 Sky cover ranged from clear to overcast, with a predominance of cloudy days, particularly in the latter months.",y,
6,N3|1020|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -16.12°C to a high of 24.9°C, with noticeable fluctuations and a general trend of colder temperatures as the month progressed, particularly in the first half.","The temperature ranged from a low of -16.12°C to a high of 24.9°C, with noticeable fluctuations and a general trend of warmer temperatures as the month progressed, particularly in the first half.","Weather time series location: Otero County, Colorado experienced a variety of weather conditions. Time range: The past 28 days from October 27 to November 23, 2019. The weather is Cold, Cloudy, Windy. The temperature ranged from a low of -16.12°C to a high of 24.9°C, with noticeable fluctuations and a general trend of warmer temperatures as the month progressed, particularly in the first half. 
 Precipitation was minimal, with several days recording no rain, and the highest recorded precipitation being 0.9 mm, indicating generally dry conditions throughout the period. 
 Relative humidity varied significantly, with values ranging from 12.25% to 90.88%, showing a trend of higher humidity levels during the latter part of the period. 
 Visibility was mostly good, averaging around 16.09 km, with occasional drops due to lower humidity and potential fog. 
 Wind direction fluctuated, with notable shifts from negative to positive values, reflecting changing wind patterns throughout the month. 
 Wind velocity showed variability, with gusts reaching up to 8.31 m/s, indicating periods of windy conditions. 
 The sky cover varied, with a mix of clear and overcast conditions, predominantly overcast (8/8) during the latter part of the period.",y,
7,N3|1021|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,up,down,"The temperature ranged from a low of -1.38°C to a high of 30.15°C, showing a noticeable warming trend towards the end of the period, with several peaks indicating volatility.","The temperature ranged from a low of -1.38°C to a high of 30.15°C, showing a noticeable cooling trend towards the end of the period, with several peaks indicating volatility.","Weather time series location: Cheshire, New Hampshire experienced a variety of weather conditions. Time range: The past 28 days from May 12, 2020, to June 8, 2020. The weather is Clear, Cloudy, Rainy, Windy, Humid. The temperature ranged from a low of -1.38°C to a high of 30.15°C, showing a noticeable cooling trend towards the end of the period, with several peaks indicating volatility. 
 Precipitation was generally low, with most values around 0.19 mm, but there were notable spikes with values reaching up to 1.0 mm on certain days, indicating sporadic rainy conditions. 
 Relative humidity fluctuated significantly, with values ranging from 16.5% to 100%, showing a trend towards higher humidity levels in the latter part of the period, particularly during rainy days. 
 Visibility remained mostly stable, averaging around 16.09 km, with occasional drops to lower values during periods of precipitation. 
 Wind direction showed variability, with both positive and negative values indicating shifts in wind patterns throughout the month. 
 Wind velocity varied, with some strong gusts observed, particularly towards the end of the period, indicating windy conditions. 
 Sky cover varied widely, with many days experiencing overcast conditions, particularly towards the middle of the period, while clearer days were noted at the beginning and end.",y,
8,N3|1024|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 14.5°C to a high of 29.64°C, with noticeable fluctuations and a general warming trend towards the end of the period.","The temperature ranged from a low of 14.5°C to a high of 29.64°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","Weather time series location: Santa Cruz, California experienced a variety of weather conditions. Time range: The past 28 days from August 6 to September 2, 2022. The weather is Clear, Warm, Dry. The temperature ranged from a low of 14.5°C to a high of 29.64°C, with noticeable fluctuations and a general cooling trend towards the end of the period. 
 There was no recorded precipitation throughout the 28 days, indicating a dry spell. 
 Relative humidity varied between 34.36% and 91.5%, showing a trend of higher humidity levels towards the end of the period. 
 Visibility remained consistently high, mostly around 15.52 km, with minor fluctuations. 
 Wind direction varied, with values ranging from -2.25 to 2.42 m/s, suggesting a mix of wind patterns. 
 Wind velocity showed significant variability, with values ranging from -7.73 to 2.42 m/s, indicating periods of stronger winds. 
 The sky cover varied from clear to scattered clouds, with the majority of days experiencing clear to few clouds.",y,
9,N3|1029|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 11.97°C to a high of 31.1°C, with noticeable fluctuations and a general warming trend towards the end of the week.","The temperature ranged from a low of 11.97°C to a high of 31.1°C, with noticeable fluctuations and a general cooling trend towards the end of the week.","Weather time series location: Callaway County, Missouri. Time range: The past week from August 26 to September 1, 2023. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 11.97°C to a high of 31.1°C, with noticeable fluctuations and a general cooling trend towards the end of the week. 
 Precipitation was minimal overall, with significant rainfall occurring on August 27 (1.65 mm) and August 28 (3.95 mm), followed by lighter amounts on August 30 (0.25 mm) and August 31 (1.17 mm). 
 Relative humidity varied from 42.0% to 94.71%, showing a trend of higher humidity during the early mornings and lower values in the afternoons, with a notable spike on August 31. 
 Visibility remained generally high, averaging around 16.09 km, with occasional drops to as low as 1.44 km during periods of precipitation. 
 Wind direction showed variability with gusts reaching up to 3.06 m/s, suggesting breezy conditions at times. 
 Wind velocity varied, with notable gusts reaching up to -5.36 m/s, indicating periods of stronger winds, particularly on August 30. 
 The sky cover ranged from clear to overcast, with significant cloud cover observed on August 30 and 31, indicating a mix of clear and cloudy conditions throughout the week.",y,
10,N3|1033|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 2.0°C to a high of 22.0°C, showing a noticeable warming trend towards the end of the week with some volatility, particularly in the early days.","The temperature ranged from a low of 2.0°C to a high of 22.0°C, showing a noticeable cooling trend towards the end of the week with some volatility, particularly in the early days.","Weather time series location: Fulton County, Indiana. Time range: The past week from March 19 to March 25, 2022. The weather is {Clear, Cloudy, Humid, Cold, Windy}. The temperature ranged from a low of 2.0°C to a high of 22.0°C, showing a noticeable cooling trend towards the end of the week with some volatility, particularly in the early days. 
 Precipitation was consistent at approximately 0.3 mm per hour, with no significant variations or outliers observed. 
 Relative humidity fluctuated significantly, starting high at around 100% and dropping to as low as 22.67%, indicating a trend towards drier conditions as the week progressed. 
 Visibility generally remained high, averaging around 16.09 km, with occasional dips below 5 km during specific hours. 
 Wind speed showed some variability, with peaks reaching up to 9.0 m/s, particularly during the latter part of the week. 
 Wind velocity varied, with some negative values indicating shifts in wind direction, but generally remained mild throughout the week. 
 The sky cover predominantly ranged from overcast to scattered clouds, with a few clear periods noted.",y,
